Site,Parameter,Date (LT),Year,Month,Day,Hour,AQI,AQI Category,24-hr. Midpoint Avg. Conc.,Raw Conc.,Conc. Unit,Duration,QC Name
Ho Chi Minh City,PM2.5 - Principal,2016-06-25 07:00 PM,2016,06,25,19,72,2,22.0,24.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-06-25 08:00 PM,2016,06,25,20,70,2,21.2,26.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-06-25 09:00 PM,2016,06,25,21,70,2,21.1,36.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-06-25 10:00 PM,2016,06,25,22,69,2,20.5,24.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-06-25 11:00 PM,2016,06,25,23,68,2,20.4,19.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-06-26 12:00 AM,2016,06,26,00,69,2,20.7,13.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-06-26 01:00 AM,2016,06,26,01,69,2,20.7,14.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-06-26 02:00 AM,2016,06,26,02,69,2,20.6,14.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-06-26 03:00 AM,2016,06,26,03,69,2,20.6,18.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-06-26 04:00 AM,2016,06,26,04,69,2,20.8,18.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-06-26 05:00 AM,2016,06,26,05,70,2,21.1,31.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-06-26 06:00 AM,2016,06,26,06,72,2,22.0,27.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-06-26 07:00 AM,2016,06,26,07,73,2,22.7,26.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-06-26 08:00 AM,2016,06,26,08,75,2,23.4,23.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-06-26 09:00 AM,2016,06,26,09,76,2,23.8,-999.0,UG/M3,1 Hr,Missing
Ho Chi Minh City,PM2.5 - Principal,2016-06-26 10:00 AM,2016,06,26,10,75,2,23.6,22.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-06-26 11:00 AM,2016,06,26,11,76,2,24.2,24.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-06-26 12:00 PM,2016,06,26,12,78,2,24.8,22.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-06-26 01:00 PM,2016,06,26,13,80,2,25.9,14.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-06-26 02:00 PM,2016,06,26,14,82,2,26.8,13.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-06-26 03:00 PM,2016,06,26,15,84,2,27.7,20.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-06-26 04:00 PM,2016,06,26,16,85,2,28.5,23.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-06-26 05:00 PM,2016,06,26,17,87,2,29.0,35.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-06-26 06:00 PM,2016,06,26,18,86,2,28.8,37.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-06-26 07:00 PM,2016,06,26,19,87,2,29.3,40.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-06-26 08:00 PM,2016,06,26,20,89,2,30.3,36.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-06-26 09:00 PM,2016,06,26,21,91,2,31.3,30.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-06-26 10:00 PM,2016,06,26,22,90,2,30.6,38.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-06-26 11:00 PM,2016,06,26,23,90,2,30.6,34.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-06-27 12:00 AM,2016,06,27,00,89,2,30.1,37.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-06-27 01:00 AM,2016,06,27,01,88,2,29.7,35.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-06-27 02:00 AM,2016,06,27,02,88,2,29.8,35.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-06-27 03:00 AM,2016,06,27,03,89,2,30.0,37.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-06-27 04:00 AM,2016,06,27,04,88,2,29.8,30.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-06-27 05:00 AM,2016,06,27,05,87,2,29.4,26.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-06-27 06:00 AM,2016,06,27,06,85,2,28.4,37.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-06-27 07:00 AM,2016,06,27,07,84,2,27.7,51.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-06-27 08:00 AM,2016,06,27,08,82,2,26.7,45.0,UG/M3,1 Hr,Valid
